SB 1 	SB 	Nelson 	General Appropriations Bill. 	['State Finances--Appropriations (I0746)'] 	03/22/2017 	Scheduled for public hearing on  . . . 	Senate 	Finance 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1 	['none']
SB 796 	SB 	West 	Relating to the collection of information concerning the number of juvenile offenders committed to the Texas Juvenile Justice Department who have been in foster care. 	['Family--Child Protection (I0351),Minors--Juvenile Justice (I0534),FOSTER CARE (S0064),JUVENILE JUSTICE DEPARTMENT TEXAS (V0846)'] 	02/22/2017 	Referred to Criminal Justice 	Senate 	Criminal Justice 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB796 	['HB 932', 'filler']
SB 797 	SB 	Perry 	Relating to the authority of certain municipalities to pledge certain tax revenue for the payment of obligations related to hotel projects. 	['City Government--Finance (I0062),Taxation--Hotel Motel Occupancy (I0806),HOTELS & MOTELS (S0171),TEXAS TECH UNIVERSITY SYSTEM (U0027)'] 	03/21/2017 	Left pending in committee 	Senate 	Natural Resources & Economic Development 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB797 	['HB 1680', 'filler']
SB 798 	SB 	Huffines, Bettencourt, Birdwell, Buckingham, Burton, Campbell, Creighton, Estes, Garcia, Hall, Hancock, Hinojosa, Huffman, Hughes, Kolkhorst, Lucio, Menéndez, Miles, Nelson, Nichols, Perry, Rodríguez, Schwertner, Seliger, Taylor Larry, Taylor Van, Uresti, Watson, West, Whitmire, Zaffirini 	Relating to designating July 7 as Fallen Law Enforcement Officer Day. 	['Holidays (I0395),Law Enforcement (I0510)'] 	03/14/2017 	Received from the Senate 	House 	Criminal Justice 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB798 	['HB 3042', 'filler']
SB 799 	SB 	Rodríguez 	Relating to the authority of certain counties to impose a hotel occupancy tax. 	['County Government--Finance (I0097),Taxation--Hotel Motel Occupancy (I0806),BORDER (S0045)'] 	03/21/2017 	Left pending in committee 	Senate 	Natural Resources & Economic Development 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB799 	['HB 1623', 'filler']
SB 800 	SB 	Seliger 	Relating to the authority of an independent school district to contract with a county for the design improvement or construction of an instructional facility or stadium or other athletic facility. 	['City Government--Finance (I0062),City Government--General (I0060),County Government--Finance (I0097),County Government--General (I0096),Education--Primary & Secondary--Facilities (I0241),Education--Primary & Secondary--Finance (I0250),Education--School Districts (I0220)'] 	02/22/2017 	Referred to Education 	Senate 	Education 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB800 	['HB 1759', 'filler']
SB 801 	SB 	Seliger 	Relating to the instructional material list and supplemental instructional materials adopted by the State Board of Education. 	['Education--Primary & Secondary--Curriculum (I0228),Education--Primary & Secondary--Textbooks (I0226),EDUCATION STATE BOARD OF (V0086)'] 	02/22/2017 	Referred to Education 	Senate 	Education 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB801 	['HB 1857', 'filler']
SB 802 	SB 	Seliger 	Relating to a study and report regarding best practices in the transfer of course credit between public institutions of higher education. 	['Education--Higher--Institutions & Programs (I0223),Education--Higher--State Coordination (I0224),Education--Junior College Districts (I0225),Education--Primary & Secondary--Curriculum (I0228),HIGHER EDUCATION COORDINATING BOARD TEXAS (V4280)'] 	03/21/2017 	Placed on intent calendar 	Senate 	Higher Education 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB802 	['none']
SB 803 	SB 	Seliger 	Relating to a study on the feasibility of requiring certain researchers to make research papers available to the public. 	['Education--Higher--Institutions & Programs (I0223),Electronic Information Systems (I0311),Libraries & Librarians (I0523),State Agencies Boards & Commissions (I0749),HIGHER EDUCATION COORDINATING BOARD TEXAS (V4280)'] 	02/22/2017 	Referred to Higher Education 	Senate 	Higher Education 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB803 	['none']
SB 804 	SB 	Taylor Van 	Relating to the eligibility of a person to serve on an appraisal review board. 	['Taxation--Property-Appeal of Tax Decisions (I0796),Taxation--Property-Appraisals & Appraisal Districts (I0792),NEPOTISM (S0265)'] 	02/22/2017 	Referred to Finance 	Senate 	Finance 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB804 	['none']
SB 805 	SB 	Lucio 	Relating to the duties of the Texas Women Veterans Program. 	['Military & Veterans (I0535),Women (I0925),VETERANS COMMISSION TEXAS (V0016)'] 	02/22/2017 	Referred to Vet Affairs & Border Security 	Senate 	Veteran Affairs & Border Security 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB805 	['none']
SB 806 	SB 	Creighton 	Relating to a report concerning and actions by certain state officers regarding federal money provided to this state that is subject to a coercive federal condition. 	['Governor (I0375),State Finances--Appropriations (I0746),State Finances--Budget (I0747),State Finances--Management & Control (I0748),LEGISLATIVE BUDGET BOARD (V0161)'] 	02/22/2017 	Referred to Finance 	Senate 	Finance 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB806 	['none']
SB 807 	SB 	Creighton 	Relating to choice of law and venue for certain construction contracts. 	['Business & Commerce--General (I0050),Civil Remedies & Liabilities (I0065),Courts--Civil Procedure (I0135),Property Interests--Real Property (I0595),BUILDING CONSTRUCTION (S0426)'] 	02/22/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB807 	['HB 1844', 'filler']
SB 808 	SB 	Miles 	Relating to coverage for certain services related to maternal depression under the Medicaid and child health plan programs. 	["Health--Children's Insurance (I0388),Human Services--Medical Assistance (I0905),Mental Health & Substance Abuse (I0019),Women (I0925),MEDICAID (S4885),HEALTH & HUMAN SERVICES COMMISSION (V0177)"] 	02/22/2017 	Referred to Health & Human Services 	Senate 	Health & Human Services 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB808 	['HB 2303', 'filler']
SB 809 	SB 	Miles 	Relating to the automatic enrollment of certain women in the Texas women's health program. 	["Health--Children's Insurance (I0388),Health--General (I0385),Human Services--Medical Assistance (I0905),Women (I0925),WOMEN'S HEALTH PROGRAM (S0698),HEALTH & HUMAN SERVICES COMMISSION (V0177)"] 	02/22/2017 	Referred to Health & Human Services 	Senate 	Health & Human Services 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB809 	['none']
SB 810 	SB 	Kolkhorst 	Relating to the use of open educational resources. 	['Education--Higher--Finance (I0232),Education--Higher--Institutions & Programs (I0223),Education--Higher--State Coordination (I0224),Education--Higher--Textbooks (I0258),EDUCATION AGENCY TEXAS (V9941),HIGHER EDUCATION COORDINATING BOARD TEXAS (V4280),STATE LIBRARY & ARCHIVES COMMISSION TEXAS (V0027)'] 	02/22/2017 	Referred to Higher Education 	Senate 	Higher Education 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB810 	['none']
SB 811 	SB 	Kolkhorst 	Relating to sex offender registration and a prohibition on certain registered sex offenders from being in a motor vehicle with a minor who is not a family member. 	['Crimes--Against Persons--Sexual (I0171),Criminal Procedure--Sentencing & Punishment (I0205),Minors--Crimes Against (I0532),HUMAN TRAFFICKING (S0696),SEXUAL OFFENDERS (S0099)'] 	02/27/2017 	Referred to Criminal Justice 	Senate 	Criminal Justice 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB811 	['none']
SB 812 	SB 	Kolkhorst 	Relating to repayment of money contributed by the Texas Department of Transportation or the Texas Transportation Commission for toll projects. 	['Highways (I0390),STATE HIGHWAY FUND (S0751),TEXAS MOBILITY FUND (S0607),TOLL ROADS & TOLL BRIDGES (S1090),TRANSPORTATION COMMISSION TEXAS (V0040),TRANSPORTATION TEXAS DEPARTMENT OF (V8796)'] 	02/27/2017 	Referred to Transportation 	Senate 	Transportation 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB812 	['HB 303', 'filler']
SB 813 	SB 	Hughes, Bettencourt, Buckingham, Hall, Huffines, Perry 	Relating to recovery of damages attorney's fees and costs related to frivolous regulatory actions by state agencies. 	["Civil Remedies & Liabilities (I0065),State Agencies Boards & Commissions (I0749),ATTORNEY'S FEES (S0202)"] 	02/27/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB813 	['HB 2516', 'filler']
SB 814 	SB 	Hinojosa 	Relating to the board of directors of the Agua Special Utility District. 	['AGUA SPECIAL UTILITY DISTRICT (D0897),Special Districts & Authorities--Water & Utility (I0755)'] 	02/27/2017 	Referred to Intergovernmental Relations 	Senate 	Intergovernmental Relations 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB814 	['none']
SB 815 	SB 	Campbell 	Relating to the modification of an order establishing the  conservatorship of a child. 	['Family--Parent & Child (I0355),CONSERVATORSHIP (S0683)'] 	02/27/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB815 	['HB 2890', 'filler']
SB 816 	SB 	Campbell 	Relating to the rendition by a court in a suit affecting the parent-child relationship of an order that is contrary to the expressed wishes of the child's parent. 	['Family--Parent & Child (I0355)'] 	02/27/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB816 	['HB 1899', 'filler']
SB 817 	SB 	Watson 	Relating to certain mental health screenings under the Texas Health Steps program. 	['Human Services--Medical Assistance (I0905),Mental Health & Substance Abuse (I0019),Minors--Health & Safety (I0533),HEALTH & HUMAN SERVICES COMMISSION (V0177)'] 	02/27/2017 	Referred to Health & Human Services 	Senate 	Health & Human Services 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB817 	['HB 1600', 'filler']
SB 818 	SB 	Watson 	Relating to nutrition and fitness standards for certain child-care facilities and training for employees at those facilities. 	['Day Care (I0209),Human Services--Child Services (I0895),Human Services--Food Programs (I0910),NUTRITION (S0623),STAFF DEVELOPMENT & TRAINING (S0317),HEALTH & HUMAN SERVICES COMMISSION (V0177)'] 	02/27/2017 	Referred to Health & Human Services 	Senate 	Health & Human Services 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB818 	['HB 2664', 'filler']
SB 819 	SB 	Rodríguez 	Relating to the execution of a declaration for mental health treatment. 	['Civil Remedies & Liabilities (I0065),Mental Health & Substance Abuse (I0019),Notaries (I0538)'] 	02/27/2017 	Referred to Health & Human Services 	Senate 	Health & Human Services 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB819 	['HB 1787', 'filler']
SB 820 	SB 	Watson 	Relating to leave for state employees who are foster parents or prospective foster parents. 	['Family--Parent & Child (I0355),State Employees (I0626),EMPLOYEE BENEFITS & LEAVE (S0452),FOSTER CARE (S0064)'] 	02/27/2017 	Referred to Business & Commerce 	Senate 	Business & Commerce 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB820 	['none']
SB 821 	SB 	Seliger 	Relating to the qualifications for membership on the Texas Water Development Board. 	['State Agencies Boards & Commissions (I0749),Water--Development (I0875),Water--General (I0885),WATER DEVELOPMENT BOARD (V2481)'] 	02/27/2017 	Referred to Agriculture Water &  Rural Affairs 	Senate 	Agriculture Water & Rural Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB821 	['none']
SB 822 	SB 	Estes, Miles, West 	Relating to the transfer of certain property from The University of Texas System to the Parks and Wildlife Department. 	['Education--Higher--General (I0231),Parks & Wildlife--Parks (I0555),Property Interests--Real Property (I0595),Public Lands Buildings & Resources (I0630),UNIVERSITY OF TEXAS SYSTEM (U0045),PARKS & WILDLIFE DEPARTMENT (V0045)'] 	03/21/2017 	Left pending in committee 	Senate 	Natural Resources & Economic Development 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB822 	['HB 4059', 'filler']
SB 823 	SB 	Burton, Nelson 	Relating to the powers and compensation of criminal law magistrates in Tarrant County. 	['Courts--County & Statutory (I0115),Salaries & Expenses (I0745),MAGISTRATES (S1592)'] 	03/23/2017 	Scheduled for public hearing on  . . . 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB823 	['HB 1904', 'filler']
SB 824 	SB 	Burton 	Relating to compensation of certain district judges for performing extrajudicial services. 	['Courts--District (I0120),Courts--Judges (I0140),Salaries & Expenses (I0745)'] 	02/27/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB824 	['HB 1765', 'filler']
SB 825 	SB 	Taylor Larry 	Relating to school district discretion to administer college preparation assessment instruments to public school students at state cost. 	['Education--Higher--Admission & Attendance (I0257),Education--Primary & Secondary--Curriculum (I0228),Education--Primary & Secondary--Testing (I0229)'] 	02/27/2017 	Referred to Education 	Senate 	Education 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB825 	['HB 2614', 'filler']
SB 826 	SB 	Taylor Larry 	Relating to the sequencing of required English language arts courses and mathematics courses in schools. 	['Education--Primary & Secondary--Curriculum (I0228)'] 	03/16/2017 	Left pending in committee 	Senate 	Education 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB826 	['HB 1531', 'HB 1854', 'filler']
SB 827 	SB 	Seliger 	Relating to procedures for asserting claims under the Americans with Disabilities Act; providing a civil penalty. 	['Civil Remedies & Liabilities (I0065),Disabilities Persons with (I0380),AMERICANS WITH DISABILITIES ACT (P0044),ATTORNEY GENERAL (V2811)'] 	02/27/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB827 	['HB 1463', 'filler']
SB 828 	SB 	Seliger 	Relating to certain academic programs and projects undertaken by public institutions of higher education at an off-campus academic or research site or a similar location. 	['Education--Higher--Institutions & Programs (I0223),HIGHER EDUCATION COORDINATING BOARD TEXAS (V4280)'] 	02/27/2017 	Referred to Higher Education 	Senate 	Higher Education 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB828 	['none']
SB 829 	SB 	Hughes 	Relating to the use of direct recording electronic voting machines. 	['Elections--General (I0310),Elections--Voting Systems (I0270),PUNCH CARD BALLOTS & VOTING MACHINES (S0421)'] 	02/27/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB829 	['HB 1711', 'filler']
